,SEARCHVAL,LATITUDE,LONGITUDE
388,TUAS WEST ROAD MRT STATION EXIT A,1.3298503916278,103.639299528273
389,BUKIT PANJANG MRT STATION EXIT A1,1.37901587877478,103.761921007838
390,BUKIT PANJANG MRT STATION EXIT A2,1.37877062041355,103.762039889143
391,ADMIRALTY MRT STATION EXIT B,1.44016248163827,103.800527184397
392,ADMIRALTY MRT STATION EXIT D,1.440533387633,103.801364534318
393,ADMIRALTY MRT STATION EXIT C,1.44060537289018,103.800551474686
394,CHANGI AIRPORT MRT STATION EXIT B,1.35722025591941,103.987304579993
395,KING ALBERT PARK MRT STATION EXIT B,1.3361561748438,103.78360641226
396,ALJUNIED MRT STATION EXIT B,1.3164879306303,103.882472888012
397,ANG MO KIO MRT STATION EXIT C,1.36943856246777,103.849334379134
398,ANG MO KIO MRT STATION EXIT D,1.36988737282392,103.849825701795
399,ANG MO KIO MRT STATION EXIT B,1.36967788950155,103.849582687035
400,SIXTH AVENUE MRT STATION EXIT B,1.33153906028287,103.796828207439
401,TELOK AYER MRT STATION EXIT B,1.28250004883814,103.848767031399
402,TELOK AYER MRT STATION EXIT C,1.28227572989613,103.848846121797
403,UPPER CHANGI MRT STATION EXIT B,1.34104438094716,103.961458853982
404,BOTANIC GARDENS MRT STATION EXIT B,1.3226997429185,103.815911233166
405,BUANGKOK MRT STATION EXIT B,1.38264972279052,103.893463151692
406,BUGIS MRT STATION EXIT B,1.30077954774568,103.856327844038
407,BUONA VISTA MRT STATION EXIT B,1.30719725693025,103.790656619025
408,CANBERRA MRT STATION EXIT B,1.44242769458601,103.830304623338
409,CHOA CHU KANG MRT STATION EXIT B,1.38496969235412,103.744591903712
410,CLEMENTI MRT STATION EXIT B,1.31546398053601,103.765155477484
411,JOO KOON MRT STATION EXIT B,1.32795758286753,103.678641427081
412,KAKI BUKIT MRT STATION EXIT B,1.33481134943921,103.908996040609
413,HOLLAND VILLAGE MRT STATION EXIT B,1.31107119772803,103.795769657083
414,ESPLANADE MRT STATION EXIT B,1.29292359779494,103.856172105283
415,EUNOS MRT STATION EXIT B,1.31956254560615,103.90258207739
416,FARRER PARK MRT STATION EXIT B,1.31352570644987,103.854738296374
417,FARRER ROAD MRT STATION EXIT B,1.31755039971444,103.807384282049
418,KEMBANGAN MRT STATION EXIT B,1.32115210814206,103.912899289031
419,KENT RIDGE MRT STATION EXIT B,1.29244552308834,103.784829341664
420,KHATIB MRT STATION EXIT B,1.417130546383,103.832691768658
421,FORT CANNING MRT STATION EXIT B,1.29280562564187,103.844415088129
422,SERANGOON MRT STATION EXIT B,1.34983462547997,103.87364078459
423,ONE-NORTH MRT STATION EXIT B,1.30037159544648,103.787924549354
424,PASIR RIS MRT STATION EXIT B,1.37288623654736,103.949136940627
425,BARTLEY MRT STATION EXIT B,1.34350123600257,103.878909070836
426,BEAUTY WORLD MRT STATION EXIT B,1.34159717140785,103.775457793003
427,BEDOK MRT STATION EXIT B,1.32426834306315,103.929673090102
428,YEE TEE MRT STATION EXIT B,1.39809059842676,103.747330414399
429,PAYA LEBAR MRT STATION EXIT B,1.3183703130837,103.892208157793
430,QUEENSTOWN MRT STATION EXIT B,1.29437295333944,103.806357110237
431,RAFFLES PLACE MRT STATION EXIT B,1.28460687427363,103.851479977962
432,MOUNTBATTEN MRT STATION EXIT B,1.30604592590882,103.883248292795
433,NEWTON MRT STATION EXIT B,1.31208967800796,103.838211803447
434,MARINA SOUTH PIER MRT STATION EXIT B,1.27147920195277,103.863564370201
435,MARSILING MRT STATION EXIT B,1.43275715343273,103.774404548397
436,MARYMOUNT MRT STATION EXIT B,1.34787308218984,103.840047785068
437,KOVAN MRT STATION EXIT B,1.36021285860984,103.884723781231
438,KRANJI MRT STATION EXIT B,1.42486059818413,103.76193427334
439,LAKESIDE MRT STATION EXIT B,1.34407537655211,103.721063264468
440,KOVAN MRT STATION EXIT B,1.36021285860984,103.884723781231
441,KRANJI MRT STATION EXIT B,1.42486059818413,103.76193427334
442,LAKESIDE MRT STATION EXIT B,1.34407537655211,103.721063264468
443,LORONG CHUAN MRT STATION EXIT B,1.35173478946581,103.86291944158
444,STADIUM MRT STATION EXIT B,1.30337022553934,103.876226233523
445,TAMPINES EAST MRT STATION EXIT B,1.35561025574507,103.955182879925
446,TAMPINES MRT STATION EXIT B,1.35353908151706,103.945089563391
447,TANAH MERAH MRT STATION EXIT B,1.32706486167886,103.945723128534
448,TANJONG PAGAR MRT STATION EXIT B,1.27666263686613,103.846554745658
449,TOA PAYOH MRT STATION EXIT B,1.33229717556053,103.847557800613
450,TANAH MERAH MRT STATION EXIT B,1.32706486167886,103.945723128534
451,TANJONG PAGAR MRT STATION EXIT B,1.27666263686613,103.846554745658
452,TOA PAYOH MRT STATION EXIT B,1.33229717556053,103.847557800613
453,TUAS CRESCENT MRT STATION EXIT B,1.32115337319655,103.649354280675
454,TUAS LINK MRT STATION EXIT B,1.34043833208804,103.636664841468
455,TUAS WEST ROAD MRT STATION EXIT B,1.33015670911184,103.639813026933
456,POTONG PASIR MRT STATION EXIT B,1.331160592199,103.869326795079
457,REDHILL MRT STATION EXIT B,1.28948587575624,103.817249373128
458,ROCHOR MRT STATION EXIT B,1.304166597297,103.853030813143
459,NICOLL HIGHWAY MRT STATION EXIT B,1.29966259843937,103.864164402932
460,NOVENA MRT STATION EXIT B,1.31988400788823,103.843322866691
461,SOMERSET MRT STATION EXIT B,1.30078472678277,103.838454758569
462,BAYFRONT MRT STATION EXIT B,1.28270522446426,103.859759179874
463,BEDOK NORTH MRT STATION EXIT B,1.33417470148156,103.919055366359
464,BEDOK RESERVOIR MRT STATION EXIT B,1.33658348325378,103.933489354839
465,BENCOOLEN MRT STATION EXIT B,1.29811535603546,103.84958461668
466,BENDEMEER MRT STATION EXIT B,1.31349604455484,103.863213831657
467,BISHAN MRT STATION EXIT B,1.35106443949593,103.84831225604
468,GEYLANG BAHRU MRT STATION EXIT B,1.3211077830288,103.871784960916
469,TAI SENG MRT STATION EXIT B,1.33464976487638,103.888276517231
470,TAMPINES WEST MRT STATION EXIT B,1.3450082552866,103.938956764542
471,TAN KAH KEE MRT STATION EXIT B,1.32615357209821,103.807782858593
472,SEMBAWANG MRT STATION EXIT B,1.44877339773463,103.819783211843
473,SENGKANG MRT STATION EXIT B,1.39179563725034,103.89563689476
474,WOODLEIGH MRT STATION EXIT B,1.33859186404458,103.870506498272
475,YIO CHU KANG MRT STATION EXIT B,1.38154128004957,103.844952857705
476,YISHUN MRT STATION EXIT B,1.42964614005725,103.834867077043
477,BOON KENG MRT STATION EXIT B,1.31923205626251,103.86189339355
478,BOON LAY MRT STATION EXIT B,1.3384206958321,103.706145548038
479,BRADDELL MRT STATION EXIT B,1.34074651611145,103.846393244977
480,BRAS BASAH MRT STATION EXIT B,1.29604929567745,103.850473380875
481,BUKIT BATOK MRT STATION EXIT B,1.34936066402056,103.749966157866
482,BUKIT GOMBAK MRT STATION EXIT B,1.35869439023656,103.752084995437
483,BUKIT PANJANG MRT STATION EXIT B,1.37863210486195,103.76135235089
484,HOUGANG MRT STATION EXIT B,1.37195679514216,103.892967209174
485,JALAN BESAR MRT STATION EXIT B,1.3054997389208,103.855208553057
486,JURONG EAST MRT STATION EXIT B,1.33253015976675,103.742643110659
487,KALLANG MRT STATION EXIT B,1.31178177018801,103.871587075702
488,COMMONWEALTH MRT STATION EXIT B,1.30275726426405,103.798055145187
489,DAKOTA MRT STATION EXIT B,1.30810273293119,103.88796919827
490,MATTAR MRT STATION EXIT B,1.32648282613816,103.883740474769
491,GUL CIRCLE MRT STATION EXIT B,1.31888634672415,103.659476020414
492,HARBOURFRONT MRT STATION EXIT B,1.26515322900312,103.820492064514
493,EXPO MRT STATION EXIT B,1.33526477495593,103.962070158326
494,HILLVIEW MRT STATION EXIT B,1.3620882071716,103.767088008608
495,CHINESE GARDEN MRT STATION EXIT B,1.34223427697715,103.732414798591
496,CITY HALL MRT STATION EXIT B,1.29310853308826,103.851951129481
497,CITY HALL/ESPLANADE MRT STATION EXIT B,1.29172136370719,103.854756044222
498,CLARKE QUAY MRT STATION EXIT B,1.28781145357585,103.845907275918
499,MACPHERSON MRT STATION EXIT B,1.32585851691862,103.890662826068
500,LAVENDER MRT STATION EXIT B,1.30761853932456,103.862650316842
501,LITTLE INDIA MRT STATION EXIT B,1.30656540566283,103.848983594397
502,TIONG BAHRU MRT STATION EXIT B,1.28636704777458,103.827494927199
503,UBI MRT STATION EXIT B,1.32983043616597,103.898581927079
504,BRAS BASAH MRT STATION EXIT C,1.29701898339766,103.850254660057
505,BRAS BASAH MRT STATION EXIT D,1.29756392753642,103.850162603062
506,BRAS BASAH MRT STATION EXIT E,1.29753387426602,103.850424728146
507,BUKIT BATOK MRT STATION EXIT C,1.34951246904043,103.749769199779
508,BUKIT BATOK MRT STATION EXIT D,1.34842377665438,103.749126361849
509,BAYFRONT MRT STATION EXIT E,1.28112089385407,103.858419290212
510,BAYFRONT MRT STATION EXIT,1.2819410418667,103.861170309768
511,BAYFRONT MRT STATION EXIT C,1.28283490852292,103.859596872464
512,BAYFRONT MRT STATION EXIT D,1.28283435390697,103.859493846293
513,BEAUTY WORLD MRT STATION EXIT C,1.33999284981842,103.775739691571
514,BEDOK MRT STATION EXIT C,1.32408493878946,103.929397331362
515,BEDOK NORTH MRT STATION EXIT C,1.33445024460198,103.917795887643
516,BENCOOLEN MRT STATION EXIT C,1.29811280568152,103.849792402967
517,BISHAN MRT STATION EXIT E,1.35103483781938,103.848432923358
518,BISHAN MRT STATION EXIT C,1.35058491188126,103.848209280992
519,BISHAN MRT STATION EXIT D,1.35105321959426,103.850201082237
520,BOON KENG MRT STATION EXIT C,1.31791149460357,103.860696261122
521,BOON LAY MRT STATION EXIT C,1.33875343288048,103.705955424998
522,BOON LAY MRT STATION EXIT F,1.33827591234396,103.705790413341
523,BOON LAY MRT STATION EXIT D,1.33863130074071,103.70564279661
524,BOON LAY MRT STATION EXIT E,1.33852030856284,103.705349474637
525,BRADDELL MRT STATION EXIT C,1.34068157403547,103.847430767853
526,BUKIT BROWN MRT STATION EXIT,1.33334187551117,103.82962180333
527,BUKIT GOMBAK MRT STATION EXIT C,1.35906497969606,103.751726614973
528,BUKIT GOMBAK MRT STATION EXIT D,1.35930937732431,103.751948590322
529,BUGIS MRT STATION EXIT C,1.30000715197151,103.855680462892
530,BUGIS MRT STATION EXIT D,1.29908112610553,103.856888176117
531,BUONA VISTA MRT STATION EXIT C,1.30690964213241,103.790587853553
532,BUONA VISTA MRT STATION EXIT D,1.30630083398837,103.790915022568
533,UPPER CHANGI MRT STATION EXIT C,1.34198483228048,103.961625359424
534,CHINESE GARDEN MRT STATION EXIT C,1.34210147853728,103.73266879526
535,CITY HALL/ESPLANADE MRT STATION EXIT C,1.29131493573099,103.855192585584
536,CLARK QUAY MRT STATION EXIT C,1.28938293825434,103.84667577547
537,COMMONWEALTH MRT STATION EXIT C,1.30208304808986,103.798768241331
538,JURONG EAST MRT STATION EXIT C,1.3327534168613,103.742753602536
539,HOUGANG MRT STATION EXIT C,1.37216251601494,103.891962218579
540,ESPLANADE MRT STATION EXIT C,1.29291017761792,103.855853127614
541,EUNOS MRT STATION EXIT C,1.31960866729862,103.903178612002
542,EXPO MRT STATION EXIT C,1.3359586922217,103.962162221687
543,KHATIB MRT STATION EXIT C,1.41788719285673,103.832540453873
544,KHATIB MRT STATION EXIT C,1.4175482420289,103.832849099942
545,HARBOURFRONT MRT STATION EXIT C,1.26525767375842,103.822518543831
546,DOWNTOWN MRT STATION EXIT C,1.27945930036359,103.853157831883
547,PAYA LEBAR MRT STATION EXIT C,1.31814736613413,103.891714062796
548,POTONG PASIR MRT STATION EXIT C,1.3310694016854,103.868704125473
549,PROMENADE MRT STATION EXIT C,1.29411523197512,103.860219019476
