car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BJ21,BLK 427-435 BUKIT PANJANG RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2064439049138456,103.94901410650616
BJ22,BLK 256/257/260 BANGKIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.2092933652457911,103.94141258524027
BJ23,BLK 258 BUKIT PANJANG RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.2087378027206643,103.94075768528643
BJ24,BLK 436-441 FAJAR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2062389004994327,103.94635413252149
BJ25,BLK 453A FAJAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.2075038886569645,103.94797524000589
BJ26,BLK 449A BUKIT PANJANG RING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.2084902049730517,103.94688013896142
BJ27,BLK 442A FAJAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.2067241881274056,103.94573125138011
BJ28,BLK 170A LOMPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.2012849786500523,103.94203952373728
BJ29,BLK 505A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2034357582303965,103.94801388821132
BJ3,BLK 101/129 GANGSA ROAD/PENDING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.205141028428876,103.94043537940466
BJ30,BLK 510A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2047403134665131,103.95009156369628
BJ31,BLK 513A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,2,2.15,N,1.2032292790996468,103.95099526498852
BJ32,BLK 518A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2026834777419342,103.94962924761353
BJ33,BLK 234A BUKIT PANJANG RING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2077917618729885,103.94223301465459
BJ34,BLK 517A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.202262931188797,103.9508533417083
BJ35,BLK 521A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.2016549101766547,103.95010364596693
BJ36,BLK 525A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.2010762633536443,103.94933753871533
BJ37,BLK 529A JELAPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2004182223135276,103.948504659326
BJ38,BLK 533A BUKIT PANJANG RING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.1991518922787392,103.94821114437188
BJ39,BLK 537A BUKIT PANJANG RING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.1985816763326056,103.94731210239304
BJ4,BLK 219/233 PETIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2080402099458574,103.93866810959483
BJ40,BLK 541A BUKIT PANJANG RING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.1986235405034618,103.94591519517498
BJ41,BLK 152A GANGSA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2011929051412582,103.93864882880277
BJ42,BLK 163A GANGSA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2000173229961415,103.94004892305931
BJ43,BLK 603A SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.1973916297142675,103.94481699595742
BJ44,BLK 177A LOMPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2.15,N,1.2007221447402185,103.9437524642417
BJ45,BLK 180A LOMPANG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N,1.2007442960426764,103.9418041782068
BJ48,BLK 651A SENJA LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,1.2003358218775293,103.95024699385861
BJ49,BLK 611A/613A/615A/616A BUKIT PANJANG RING ROAD/SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,1.197199505912911,103.94797343904963
BJ5,BLK 225A PETIR ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2088647864247057,103.93813178965205
BJ50,BLK 468A SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.209480218352436,103.95123888654811
BJ51,BLK 181A JELEBU ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.1991898272973869,103.94251001000808
BJ52,BLK 185A JELEBU ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.1983581377139476,103.94222679942372
BJ53,BLK 480A SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,1.207712022944605,103.9528471901024
BJ54,BLK 476A SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.209290169406548,103.9520971056945
BJ55,BLK 625A SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.1964851161204064,103.94934994527999
BJ56,BLK 629A SENJA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.194646234837691,103.94896073260885
BJ57,BLK 628 SENJA ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.1958747176801312,103.94832487673897
BJ58,BLK 455A SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.207048363640076,103.95058354404424
BJ59,BLK 488A SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.2070398095567596,103.95290905110912
BJ6,BLK 217A PETIR ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N,1.2102024382238683,103.93731696706612
BJ60,BLK 547 SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N,1.2052834502066432,103.9513749343674
BJ61,BLK 548 SEGAR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2035848434585907,103.95204684453367
BJ62,BLK 454 FAJAR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2071729180761812,103.94734880993154
